"Group","Method","Route","Policy","Audited","AuditAction","Redaction","Status","Line"
"incidents","GET","/api/v1/incidents/{incidentId:long}/communications/evidence/export/csv","AuthorizationPolicies.IncidentViewer","Yes","COMMUNICATION / COMMUNICATION_EVIDENCE_EXPORT_CSV","TBD","In Progress","3121"
"incidents","POST","/api/v1/incidents/{incidentId:long}/communications","AuthorizationPolicies.IncidentViewer","Yes","RESOURCE / RESOURCE_EVIDENCE_EXPORT_CSV","TBD","In Progress","3267"
"incidents","POST","/api/v1/incidents/{incidentId:long}/communications/{incidentCommunicationId:long}","AuthorizationPolicies.IncidentViewer","Yes","RESOURCE / RESOURCE_EVIDENCE_EXPORT_CSV","TBD","In Progress","3326"
"incidents","GET","/api/v1/incidents/{incidentId:long}/resources","AuthorizationPolicies.IncidentViewer","Yes","RESOURCE / RESOURCE_EVIDENCE_EXPORT_CSV","TBD","In Progress","3356"
"incidents","GET","/api/v1/incidents/{incidentId:long}/resources/lifecycle-summary","AuthorizationPolicies.IncidentViewer","Yes","RESOURCE / RESOURCE_EVIDENCE_EXPORT_CSV","TBD","In Progress","3372"
"incidents","GET","/api/v1/incidents/{incidentId:long}/resources/evidence/export/csv","AuthorizationPolicies.IncidentViewer","Yes","RESOURCE / RESOURCE_EVIDENCE_EXPORT_CSV","TBD","In Progress","3388"
"incidents","GET","/api/v1/incidents/{incidentId:long}/resources/lifecycle-evidence/export/json","AuthorizationPolicies.IncidentCommander","Yes","RESOURCE / RESOURCE_LIFECYCLE_EVIDENCE_EXPORT_JSON","TBD","In Progress","3495"
"incidents","POST","/api/v1/incidents/{incidentId:long}/resources","AuthorizationPolicies.IncidentCommander","Yes","RESOURCE / RESOURCE_REQUEST_STATUS_TRANSITION","TBD","In Progress","3635"
"incidents","POST","/api/v1/incidents/{incidentId:long}/resources/{incidentResourceRequestId:long}","AuthorizationPolicies.IncidentCommander","Yes","RESOURCE / RESOURCE_REQUEST_STATUS_TRANSITION","TBD","In Progress","3666"
"incidents","GET","/api/v1/incidents/{incidentId:long}/operational-periods","AuthorizationPolicies.IncidentCommander","Yes","DATA_CHANGE / INCIDENT_OPERATIONAL_PERIOD_APPROVE","TBD","In Progress","3758"
"incidents","POST","/api/v1/incidents/{incidentId:long}/operational-periods","AuthorizationPolicies.IncidentCommander","Yes","DATA_CHANGE / INCIDENT_OPERATIONAL_PERIOD_APPROVE","TBD","In Progress","3774"
"incidents","POST","/api/v1/incidents/{incidentId:long}/operational-periods/{operationalPeriodId:long}","AuthorizationPolicies.IncidentViewer","Yes","DATA_CHANGE / INCIDENT_OPERATIONAL_PERIOD_APPROVE","TBD","In Progress","3805"
"incidents","POST","/api/v1/incidents/{incidentId:long}/operational-periods/{operationalPeriodId:long}/approve","AuthorizationPolicies.IncidentCommander","Yes","DATA_CHANGE / INCIDENT_OPERATIONAL_PERIOD_APPROVE","TBD","In Progress","3859"
"incidents","POST","/api/v1/incidents/{incidentId:long}/operational-periods/{operationalPeriodId:long}/reopen","AuthorizationPolicies.IncidentCommander","Yes","DATA_CHANGE / INCIDENT_OPERATIONAL_PERIOD_REOPEN","TBD","In Progress","3937"
"incidents","GET","/api/v1/incidents/{incidentId:long}/objectives","AuthorizationPolicies.IncidentViewer","TBD","TBD","TBD","Pending","4028"
"incidents","POST","/api/v1/incidents/{incidentId:long}/objectives","AuthorizationPolicies.IncidentViewer","TBD","TBD","TBD","Pending","4044"
"incidents","POST","/api/v1/incidents/{incidentId:long}/objectives/{incidentObjectiveId:long}","AuthorizationPolicies.IncidentViewer","TBD","TBD","TBD","Pending","4075"
"incidents","GET","/api/v1/incidents/{incidentId:long}/command-assignments","AuthorizationPolicies.IncidentViewer","TBD","TBD","TBD","Pending","4105"
"incidents","PUT","/api/v1/incidents/{incidentId:long}/command-assignments","AuthorizationPolicies.IncidentViewer","TBD","TBD","TBD","Pending","4143"
"incidents","DELETE","/api/v1/incidents/{incidentId:long}/command-assignments/{icsPositionId:int}","AuthorizationPolicies.IncidentViewer","Yes","REPORTING / IAP_PACKET_EXPORT_JSON","TBD","In Progress","4174"
"incidents","GET","/api/v1/incidents/{incidentId:long}/ics-201","AuthorizationPolicies.IncidentViewer","Yes","REPORTING / IAP_PACKET_EXPORT_JSON","TBD","In Progress","4198"
"incidents","GET","/api/v1/incidents/{incidentId:long}/ics-202","AuthorizationPolicies.IncidentViewer","Yes","REPORTING / IAP_PACKET_EXPORT_JSON","TBD","In Progress","4214"
"incidents","GET","/api/v1/incidents/{incidentId:long}/ics-203","AuthorizationPolicies.IncidentViewer","Yes","REPORTING / IAP_PACKET_EXPORT_JSON","TBD","In Progress","4230"
"incidents","GET","/api/v1/incidents/{incidentId:long}/ics-204","AuthorizationPolicies.IncidentViewer","Yes","REPORTING / IAP_PACKET_EXPORT_JSON","TBD","In Progress","4246"
