"Endpoint","Method","DataClasses","AuthorizationPolicy","IncludedSensitiveFields","ExcludedSensitiveFields","RedactionVerified","AuditCoverageVerified","Reviewer","ReviewDateUtc","Decision","RiskTier","RiskScore","Owner","DueDateUtc","RemediationStatus","EvidenceRef","Notes"
"/api/v1/reports/external-provider-health/executive-packet/export/zip","GET","Sensitive","AuthorizationPolicies.IncidentViewer","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","5","Compliance Engineering","2026-07-28","Open-Review","EV-ENDP-0064","RiskTier=Medium; RiskScore=5; MatrixStatus=Pending; Source line 5173 in Program.cs"
"/api/v1/reports/external-provider-health/governance/export/csv","GET","Sensitive","AuthorizationPolicies.IncidentViewer","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","5","Compliance Engineering","2026-07-28","Open-Review","EV-ENDP-0065","RiskTier=Medium; RiskScore=5; MatrixStatus=Pending; Source line 4974 in Program.cs"
"/api/v1/reports/external-provider-health/scorecards/export/csv","GET","Sensitive","AuthorizationPolicies.IncidentViewer","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","5","Compliance Engineering","2026-07-28","Open-Review","EV-ENDP-0066","RiskTier=Medium; RiskScore=5; MatrixStatus=Pending; Source line 5047 in Program.cs"
"/api/v1/reports/external-provider-health/scorecards/export/json","GET","Sensitive","AuthorizationPolicies.IncidentViewer","<to-validate>","<to-validate>","Partial","Partial","Auto-Prioritized","2026-07-14","In Review","Medium","5","Compliance Engineering","2026-07-28","Open-Review","EV-ENDP-0067","RiskTier=Medium; RiskScore=5; MatrixStatus=Pending; Source line 5110 in Program.cs"
"/api/v1/reports/audit-events/export/csv","GET","Sensitive","AuthorizationPolicies.IncidentViewer","<to-validate>","<to-validate>","Yes","Yes","Auto-Prioritized","2026-07-14","Pending","Low","4","Compliance Engineering","2026-08-04","Open-Queued","<EV-ID>","RiskTier=Low; RiskScore=4; MatrixStatus=In Progress; Source line 4895 in Program.cs"
